m1,m2,merge_fraction,total_pairs,merged_pairs
1,2,0.0,4,0
1,3,0.0,8,0
1,4,0.0,16,0
1,5,0.0,32,0
1,6,0.0,64,0
1,7,0.0,128,0
1,8,0.0,256,0
2,2,0.0,2,0
2,3,0.0,16,0
2,4,0.0,32,0
2,5,0.0,64,0
2,6,0.0,128,0
2,7,0.0,256,0
2,8,0.0,512,0
3,3,0.0,12,0
3,4,0.125,64,8
3,5,0.09375,128,12
3,6,0.07421875,256,19
3,7,0.068359375,512,35
3,8,0.064453125,1024,66
4,4,0.0,56,0
4,5,0.078125,256,20
4,6,0.076171875,512,39
4,7,0.072265625,1024,74
4,8,0.0732421875,2048,150
5,5,0.008333333333333333,240,2
5,6,0.0673828125,1024,69
5,7,0.064453125,2048,132
5,8,0.0654296875,4096,268
6,6,0.04334677419354839,992,43
6,7,0.0654296875,4096,268
6,8,0.066162109375,8192,542
7,7,0.04836309523809524,4032,195
7,8,0.06280517578125,16384,1029
8,8,0.05548720472440945,16256,902
